id,name
29218,Mātāwai Stream
29267,Mātiere Point
29287,Mātokitoki Stream
54539,Matukutūreia / McLaughlins Mountain
54552,Matukutūruru
29332,Maungahīha
54771,Maunga Kākaramea
60038,Maunga Kākaramea Scenic Reserve
29347,Maungakōtukutuku Stream
29379,Maungapōhatu
60018,Maungatūtū
29442,Maunupōhatu Stream
29458,Mautōtara Stream
29461,Māwhai Point
29487,Mayor Island / Tūhua
58751,Moanapākura
30007,Moana Pūtakitaki Lagoon
58417,Moana-whenua-pōuri / Edwardson Sound
56600,Moawhango Névé
55053,Mōhaka Forest
30076,Mōhakatino
30077,Mōhakatino River
30079,Mōhau Stream
30093,Mōioio Island
58487,Mōkau
30103,Mōkau
3515,Mōkau Bay
30105,Mōkau Bay
30106,Mōkau Falls
30107,Mōkau Inlet
58493,Mōkauiti
58494,Mōkauiti Stream
58488,Mōkau River
30113,Mōkau Stream
30112,Mōkau Stream
30111,Mōkau Stream
54884,Mōkihinui Forest
30127,Mōkihinui River
30128,Mōkihinui River North Branch
30129,Mōkihinui River South Branch
54701,Mokohīnau Canyon
14214,Mokohīnau Knoll
30153,Mokotā Stream
30259,Mōpānui
30268,Mōrere
3556,Mōrere Gully
30269,Mōrere Hill
30270,Mōrere Stream
30342,Mōtītī Island
14626,Mōtītī Scarp
30347,Mōtū
30348,Mōtū Falls
30420,Motukēhua Island / Nops Island
3597,Motukōkako Island / Piercy Island
30438,Motukōrure Island / Centre Island
30450,Motumāhanga / Saddleback
54927,Motumānawa / Pollen Island
30482,Motungārara Island / Fishermans Island
54518,Motu-o-Rūrū
8772,Motupōhue Scenic Reserve
30355,Mōtū River
54904,Motutāhae
30551,Motutākupu Island / Gannet Island
56601,Mount Hāwea
56602,Mount Kōpere
31338,Mount Māhanga
3787,Mount Ōhakiri
56603,Mount Pūkākī
31827,Mount Tūtoko
54442,Mount Tūwhakarōria
7371,Mourā Bay
7372,Mourā Point
10562,Mūmū Nunatak
32109,Nākahi Stream
55207,Ngā Atua Tātā / Kerr Point
32282,Ngāhape
7374,Ngāhauā Bay
7375,Ngāheretā Bay
3983,Ngāhinapōuri
32295,Ngāhinapōuri Island
32307,Ngāihihiopoanga
32333,Ngākawau River
3971,Ngā Kiore / Jag Rocks
32356,Ngākuta Bay
32355,Ngākuta Bay
32357,Ngākuta Bay
32358,Ngākutu Point
32364,Ngāmahau Bay
7377,Ngāmimiro Bay
54519,Ngāmoerangi
54967,Ngāmoko Forest
58423,Ngāmotu
